Mesocycle,Week,Day,Workout Type,Sets,Rep Goal,Notes
Mesocycle 3 Metabolite Training,Week 1,Day 2,Quads,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 2,Vertical Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 2,Vertical Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 2,Rear/Medial Delts,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 2,Calves,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Vertical Pull,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Horizontal Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Rear/Medial Delts,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Biceps,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Hamstrings,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Horizontal Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 3,Abs,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Quads,2,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Deadlifts and Glute Bridges,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Hamstrings,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Vertical Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Chest Isolation,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Vertical Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Rear/Medial Delts,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 1,Day 4,Calves,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Horizontal Push,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Vertical Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Triceps,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Horizontal Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Quads,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Hamstrings,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 1,Abs,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Deadlifts and Glute Bridges,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Quads,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Quads,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Vertical Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Vertical Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Rear/Medial Delts,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 2,Calves,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Vertical Pull,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Horizontal Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Rear/Medial Delts,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Biceps,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Hamstrings,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Horizontal Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 3,Abs,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Quads,2,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Deadlifts and Glute Bridges,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Hamstrings,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Vertical Push,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Chest Isolation,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Vertical Pull,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Rear/Medial Delts,3,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 2,Day 4,Calves,4,3/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Horizontal Push,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Vertical Push,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Triceps,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Horizontal Pull,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Quads,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Hamstrings,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 1,Abs,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Deadlifts and Glute Bridges,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Quads,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Quads,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Vertical Push,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Vertical Pull,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Rear/Medial Delts,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 2,Calves,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Vertical Pull,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Horizontal Pull,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Rear/Medial Delts,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Biceps,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Hamstrings,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Horizontal Push,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 3,Abs,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Quads,2,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Deadlifts and Glute Bridges,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Hamstrings,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Vertical Push,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Chest Isolation,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Vertical Pull,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Rear/Medial Delts,3,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 3,Day 4,Calves,4,2/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Horizontal Push,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Vertical Push,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Triceps,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Horizontal Pull,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Quads,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Hamstrings,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 1,Abs,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Deadlifts and Glute Bridges,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Quads,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Quads,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Vertical Push,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Vertical Pull,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Rear/Medial Delts,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 2,Calves,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Vertical Pull,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Horizontal Pull,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Rear/Medial Delts,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Biceps,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Hamstrings,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Horizontal Push,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 3,Abs,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Quads,2,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Deadlifts and Glute Bridges,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Hamstrings,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Vertical Push,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Chest Isolation,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Vertical Pull,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Rear/Medial Delts,3,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 4,Day 4,Calves,4,1/fail,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Horizontal Push,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Vertical Push,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Triceps,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Horizontal Pull,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Quads,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Hamstrings,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 1,Abs,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Deadlifts and Glute Bridges,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Quads,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Quads,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Vertical Push,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Vertical Pull,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Rear/Medial Delts,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 2,Calves,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Vertical Pull,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Horizontal Pull,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Rear/Medial Delts,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Biceps,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Hamstrings,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Horizontal Push,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 3,Abs,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Quads,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Deadlifts and Glute Bridges,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Hamstrings,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Vertical Push,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Chest Isolation,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Vertical Pull,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Rear/Medial Delts,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 3 Metabolite Training,Week 5: Deload,Day 4,Calves,2,1/2 reps of Week 1,Rest between sets: Enough to barely catch your breath
Mesocycle 4 Resensitization,Week 1,Day 1,Horizontal Push,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Vertical Push,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Triceps,4,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Horizontal Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Quads,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 1,Abs,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Deadlifts and Glute Bridges,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Quads,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Quads,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Vertical Push,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Vertical Pull,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Rear/Medial Delts,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 2,Calves,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Vertical Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Horizontal Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Rear/Medial Delts,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Biceps,4,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Horizontal Push,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 3,Abs,3,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Quads,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Deadlifts and Glute Bridges,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Vertical Push,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Chest Isolation,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Vertical Pull,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Rear/Medial Delts,2,3/fail,
Mesocycle 4 Resensitization,Week 1,Day 4,Calves,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Horizontal Push,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Vertical Push,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Triceps,4,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Horizontal Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Quads,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 1,Abs,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Deadlifts and Glute Bridges,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Quads,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Quads,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Vertical Push,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Vertical Pull,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Rear/Medial Delts,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 2,Calves,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Vertical Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Horizontal Pull,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Rear/Medial Delts,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Biceps,4,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Horizontal Push,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 3,Abs,3,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Quads,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Deadlifts and Glute Bridges,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Hamstrings,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Vertical Push,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Chest Isolation,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Vertical Pull,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Rear/Medial Delts,2,3/fail,
Mesocycle 4 Resensitization,Week 2,Day 4,Calves,3,3/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Horizontal Push,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Vertical Push,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Triceps,4,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Horizontal Pull,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Quads,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Hamstrings,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 1,Abs,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Deadlifts and Glute Bridges,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Quads,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Quads,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Vertical Push,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Vertical Pull,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Rear/Medial Delts,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 2,Calves,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Vertical Pull,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Horizontal Pull,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Rear/Medial Delts,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Biceps,4,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Hamstrings,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Horizontal Push,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 3,Abs,3,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Quads,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Deadlifts and Glute Bridges,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Hamstrings,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Vertical Push,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Chest Isolation,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Vertical Pull,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Rear/Medial Delts,2,2/fail,
Mesocycle 4 Resensitization,Week 3,Day 4,Calves,3,2/fail,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Horizontal Push,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Vertical Push,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Triceps,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Horizontal Pull,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Quads,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Hamstrings,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 1,Abs,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Deadlifts and Glute Bridges,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Quads,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Quads,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Vertical Push,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Vertical Pull,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Rear/Medial Delts,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 2,Calves,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Vertical Pull,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Horizontal Pull,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Rear/Medial Delts,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Biceps,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Hamstrings,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Horizontal Push,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 3,Abs,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Quads,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Deadlifts and Glute Bridges,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Hamstrings,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Vertical Push,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Chest Isolation,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Vertical Pull,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Rear/Medial Delts,2,1/2 reps of Week 1,
Mesocycle 4 Resensitization,Week 4: Deload,Day 4,Calves,2,1/2 reps of Week 1,
