Mesocycle,Week,Day,Workout Type,Exercise,Sets,Rep Goal,Notes,Video Link
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Horizontal Push,Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Chest Isolation,Flat Dumbbell Flye ,2,3/fail,,https://www.youtube.com/watch?v=9yjaVlj69H0
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Vertical Push,Incline Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Triceps,Cable Tricep Pushdown,3,3/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Horizontal Pull,Barbell Bent-Row,2,3/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Deadlifts and Glute Bridges,Deadlift ,2,3/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Abs,V-Up,3,3/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Calves,Calves on Leg Press,3,3/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Hamstrings,Stiff Legged Deadlift,2,3/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Deadlifts and Glute Bridges,Deadlift ,2,3/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Rear/Medial Delts,Barbell Upright Row,2,3/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Vertical Pull,Overhand Pullup ,2,3/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 2,Day 2,Vertical Push,Incline Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Vertical Pull,Overhand Pullup ,2,3/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Horizontal Pull,Barbell Bent-Row,2,3/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Rear/Medial Delts,Barbell Upright Row,2,3/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Biceps,Barbell Curl,4,3/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Vertical Push,Incline Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Abs,V-Up,3,3/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 2,Day 3,Calves,Calves on Leg Press,3,3/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Deadlifts and Glute Bridges,Deadlift ,2,3/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Hamstrings,Stiff Legged Deadlift,2,3/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Rear/Medial Delts,Barbell Upright Row,2,3/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Horizontal Push,Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 2,Day 4,Horizontal Pull,Barbell Bent-Row,2,3/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Vertical Pull,Overhand Pullup ,2,3/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Biceps,Barbell Curl,4,3/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Vertical Push,Incline Medium Grip Bench Press,2,3/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Triceps,Cable Tricep Pushdown,3,3/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Quads,High Bar Squat,2,3/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Hamstrings,Stiff Legged Deadlift,2,3/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Abs,V-Up,3,3/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 2,Day 5,Calves,Calves on Leg Press,3,3/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Horizontal Push,Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Chest Isolation,Flat Dumbbell Flye ,2,2/fail,,https://www.youtube.com/watch?v=9yjaVlj69H0
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Vertical Push,Incline Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Triceps,Cable Tricep Pushdown,3,2/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Horizontal Pull,Barbell Bent-Row,2,2/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Deadlifts and Glute Bridges,Deadlift ,2,2/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Abs,V-Up,3,2/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 3,Day 1,Calves,Calves on Leg Press,3,2/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Hamstrings,Stiff Legged Deadlift,2,2/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Deadlifts and Glute Bridges,Deadlift ,2,2/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Rear/Medial Delts,Barbell Upright Row,2,2/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Vertical Pull,Overhand Pullup ,2,2/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 3,Day 2,Vertical Push,Incline Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Vertical Pull,Overhand Pullup ,2,2/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Horizontal Pull,Barbell Bent-Row,2,2/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Rear/Medial Delts,Barbell Upright Row,2,2/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Biceps,Barbell Curl,4,2/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Vertical Push,Incline Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Abs,V-Up,3,2/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 3,Day 3,Calves,Calves on Leg Press,3,2/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Deadlifts and Glute Bridges,Deadlift ,2,2/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Hamstrings,Stiff Legged Deadlift,2,2/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Rear/Medial Delts,Barbell Upright Row,2,2/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Horizontal Push,Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 3,Day 4,Horizontal Pull,Barbell Bent-Row,2,2/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Vertical Pull,Overhand Pullup ,2,2/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Biceps,Barbell Curl,4,2/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Vertical Push,Incline Medium Grip Bench Press,2,2/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Triceps,Cable Tricep Pushdown,3,2/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Quads,High Bar Squat,2,2/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Hamstrings,Stiff Legged Deadlift,2,2/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Abs,V-Up,3,2/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 3,Day 5,Calves,Calves on Leg Press,3,2/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Horizontal Push,Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Chest Isolation,Flat Dumbbell Flye ,2,1/fail,,https://www.youtube.com/watch?v=9yjaVlj69H0
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Vertical Push,Incline Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Triceps,Cable Tricep Pushdown,3,1/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Horizontal Pull,Barbell Bent-Row,2,1/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Deadlifts and Glute Bridges,Deadlift ,2,1/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Abs,V-Up,3,1/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 4,Day 1,Calves,Calves on Leg Press,3,1/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Hamstrings,Stiff Legged Deadlift,2,1/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Deadlifts and Glute Bridges,Deadlift ,2,1/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Rear/Medial Delts,Barbell Upright Row,2,1/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Vertical Pull,Overhand Pullup ,2,1/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 4,Day 2,Vertical Push,Incline Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Vertical Pull,Overhand Pullup ,2,1/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Horizontal Pull,Barbell Bent-Row,2,1/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Rear/Medial Delts,Barbell Upright Row,2,1/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Biceps,Barbell Curl,4,1/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Vertical Push,Incline Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Abs,V-Up,3,1/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 4,Day 3,Calves,Calves on Leg Press,3,1/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Deadlifts and Glute Bridges,Deadlift ,2,1/fail,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Hamstrings,Stiff Legged Deadlift,2,1/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Rear/Medial Delts,Barbell Upright Row,2,1/fail,,https://www.youtube.com/watch?v=-hpLxNeJU34
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Horizontal Push,Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=IB4SOljqN3M
Mesocycle 1 Basic Hypertrophy,Week 4,Day 4,Horizontal Pull,Barbell Bent-Row,2,1/fail,,https://www.youtube.com/watch?v=nMu_CWMVewc
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Vertical Pull,Overhand Pullup ,2,1/fail,,https://www.youtube.com/watch?v=VX2iVFQzskU
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Biceps,Barbell Curl,4,1/fail,,https://www.youtube.com/watch?v=Wz66Z5W9iqE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Vertical Push,Incline Medium Grip Bench Press,2,1/fail,,https://www.youtube.com/watch?v=LGUfh4tc13I
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Triceps,Cable Tricep Pushdown,3,1/fail,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Quads,High Bar Squat,2,1/fail,,https://www.youtube.com/watch?v=thBk5RamieE
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Hamstrings,Stiff Legged Deadlift,2,1/fail,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Abs,V-Up,3,1/fail,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Mesocycle 1 Basic Hypertrophy,Week 4,Day 5,Calves,Calves on Leg Press,3,1/fail,,https://www.youtube.com/watch?v=5f-MN0b_V4g
Mesocycle 1 Basic Hypertrophy,Week 5: Deload,Day 1,Horizontal Push,Medium Grip Bench Press,2,1/2 reps of Week 1,,https://www.youtube.com/watch?v=IB4SOljqN3M
